Generator Name,Power Project Type,Capacity (MW),DC Capacity (MW),Owner,Power Project Status,Contract Price ($/MWh),Contract Type,Contract Price Type,Contract Offtaker Type,Hybrid Status,State,ISO,Latitude (Degrees),Longitude (Degrees),First Power Date,Year,hail_lat,hail_lon,hail_dist
Bensenville 14-SLCHI414: CH414,Solar,1.3,1.7,Prologis,In Construction,84.19,,Assumed,,N,IL,PJM,41.982829,-87.94589,01/01/2026,2026,41.6,-87.7,0.4549944344066223
SR Gray: GRAY,Solar,6.0,7.8,Silicon Ranch,In Construction,53.63,,Assumed,,N,TN,Non-ISO,36.439504,-82.47351,04/01/2026,2026,36.2,-82.3,0.29574970180204907
SR Adamsville: ADAMV,Solar,25.0,32.5,Silicon Ranch,In Construction,51.57,,Assumed,,N,TN,Non-ISO,35.256025,-88.36971,06/01/2026,2026,35.3,-88.6,0.23445102841531335
GCC Trident Solar Project: GCC2,Solar,2.0,2.6,GCC Trident LLC,Operating,46.86,,Assumed,,N,MT,Non-ISO,45.93728,-111.4637,03/01/2025,2025,46.1,-111.1,0.39844132366009216
Beaverdam Renewable Energy Center: 67693,Solar,40.8,53.0,Duke Energy,In Construction,54.91,,Assumed,,N,SC,Non-ISO,34.64611,-82.03086,01/01/2026,2026,34.4,-82.3,0.36470052330644803
Commerce Distribution Center 4-SLLAX113: LA113,Solar,1.2,1.6,Prologis,In Construction,57.94,,Assumed,,N,CA,CAISO,33.98049,-118.1581,02/01/2026,2026,34.4,-118.3,0.4428591763755088
CA OXNARD 2600 Sakioka Dr: 21387,Solar,1.6,2.1,Catalyze,Operating,57.52,,Assumed,,N,CA,CAISO,34.2134,-119.1396,07/01/2025,2025,34.4,-119.2,0.19613189439762116
South Bay Dis Ctr 20-SLLAX512: LA512,Solar,1.3,1.7,Prologis,In Construction,58.0,,Assumed,,N,CA,CAISO,33.84038,-118.2287,01/01/2026,2026,33.5,-118.3,0.3477675004942257
DG Green Arrow: GRARW,Solar,1.0,1.3,DG Green Arrow LLC,Operating,53.2,,Assumed,,N,MN,MISO,43.994,-96.3327,03/01/2025,2025,44.3,-96.7,0.4780641065798587
Romeoville 34B-SLCHI234: C234B,Solar,1.1,1.4,Prologis,In Construction,84.01,,Assumed,,Y,IL,PJM,41.597,-88.11,04/01/2026,2026,41.6,-87.7,0.4100109754628493
SR Sequatchie: SEQUA,Solar,8.0,10.4,Silicon Ranch,In Construction,51.58,,Assumed,,N,TN,Non-ISO,35.412666,-85.3278,07/01/2026,2026,35.3,-85.0,0.3466215047512179
Kennett Solar: KSPV1,Solar,4.9,6.4,Evergy Inc,In Construction,56.95,,Assumed,,N,MO,SPP,36.207917,-90.05722,04/01/2026,2026,36.2,-90.4,0.34287141509464336
Romeoville 34A-SLCHI234: C234A,Solar,1.1,1.4,Prologis,In Construction,84.01,,Assumed,,Y,IL,PJM,41.599,-88.111,04/01/2026,2026,41.6,-87.7,0.4110012165432131
Tower Solar: TWS,Solar,120.0,156.0,Avangrid,In Construction,51.52,,Assumed,,N,OR,Non-ISO,45.8211,-119.7994,09/01/2026,2026,46.1,-120.1,0.4100555694049201
Swamp Cabbage: 1,Solar,74.5,96.9,Florida Power & Light Co,In Construction,51.02,,Assumed,,N,FL,Non-ISO,26.762014,-81.25302,01/01/2026,2026,27.2,-81.4,0.4619901044351476
Brookings Solar: 1,Solar,4.9,6.4,Western Minnesota Mun Pwr Agny,In Construction,59.29,,Assumed,,N,SD,SPP,44.340596,-96.72945,12/01/2025,2025,44.3,-96.7,0.050153142633337436
Oneida 2 CDG: 21108,Solar,3.3,4.3,NY CDG Oneida 2 LLC,In Construction,123.96,,Assumed,,N,NY,NYISO,43.196874,-75.43545,12/01/2025,2025,43.4,-75.1,0.3921566962019198
CA OXNARD 2600 Sakioka Dr: 18249,Solar,1.6,2.1,Catalyze,Operating,57.52,,Assumed,,N,CA,CAISO,34.2134,-119.1396,07/01/2025,2025,34.4,-119.2,0.19613189439762116
Cabin Creek MD: CABCR,Solar,2.0,2.6,AES,Operating,76.06,,Assumed,,N,MD,PJM,38.615,-75.8959,08/01/2025,2025,38.9,-76.0,0.303416891421685
South Bay Dis Ctr 6-SLLAX680: LA680,Solar,1.3,1.7,Prologis,In Construction,58.14,,Assumed,,N,CA,CAISO,33.8439,-118.2242,11/01/2026,2026,33.5,-118.3,0.35215458253443005
Solar Star 3: SS3PV,Solar,24.0,31.2,BHE Renewables,In Construction,57.88,,Assumed,,Y,CA,CAISO,34.84166,-118.4551,10/01/2026,2026,34.4,-118.3,0.46810208886523924
Centennial Flats: CFPV2,Solar,166.7,216.7,Carlyle Group,In Construction,39.95,PPA,Assumed,,Y,AZ,CAISO,33.588334,-113.5283,02/01/2026,2026,33.5,-113.8,0.2856987671586949
IL2 - W109: IL2PV,Solar,4.9,7.5,Madison Energy Investments,In Construction,85.13,,Assumed,,N,IL,PJM,41.470454,-88.02366,12/01/2025,2025,41.6,-87.7,0.34862295064439425
MN CSG 2019-105: HAGER,Solar,1.0,1.3,Impact Power Solutions,Operating,53.29,,Assumed,,N,MN,MISO,44.3395,-92.00017,05/01/2025,2025,44.3,-92.2,0.20369653629849133
Long Branch Solar: 1,Solar,74.5,96.9,Emera Energy,In Construction,51.04,,Assumed,,N,FL,Non-ISO,27.62574,-82.17134,12/01/2025,2025,27.2,-82.3,0.4447560490875869
AES Glengarry Farms Solar CSG: GLENG,Solar,5.0,6.5,AES,In Construction,113.67,,Assumed,,N,NY,NYISO,44.9183,-74.1477,12/01/2025,2025,44.3,-74.2,0.6205080015600173
Centennial Flats: CFPV3,Solar,166.7,216.7,Carlyle Group,In Construction,39.95,PPA,Assumed,Utility,Y,AZ,CAISO,33.588334,-113.5283,02/01/2026,2026,33.5,-113.8,0.2856987671586949
Ironwood Solar: I168M,Solar,168.0,218.4,Arizona Public Service,In Construction,39.29,,Assumed,,N,AZ,Non-ISO,32.915556,-113.5778,06/01/2026,2026,32.6,-113.8,0.3859383747905887
DIVOCSG 14: DIV14,Solar,1.0,1.3,New Energy Equity,Operating,53.22,,Assumed,,N,MN,MISO,44.3396,-91.9974,06/01/2025,2025,44.3,-92.2,0.20643381505945577
Bronson Solar: BROS,Solar,74.5,96.9,NextEra Energy Resources,Operating,51.0,,Assumed,,N,FL,Non-ISO,29.464985,-82.6239,09/01/2025,2025,29.9,-82.3,0.5423552896626028
MN CSG 2019-67: MONK,Solar,1.0,1.3,MN CSG 2019-67 LLC,Operating,52.64,,Assumed,,N,MN,MISO,45.421063,-94.03342,03/01/2025,2025,45.2,-94.0,0.2235749233903429
Keydet Solar Center: KEYDT,Solar,120.0,156.0,AES,In Construction,77.72,,Assumed,,N,VA,PJM,37.4371,-77.1587,03/01/2026,2026,37.1,-76.9,0.42492599355651883
NorCal FPV 1: 17184,Solar,10.0,13.0,White Pine Renewables,In Construction,65.08,,Assumed,,N,CA,CAISO,37.6778,-121.8275,04/01/2026,2026,38.0,-121.9,0.3302560975970046
WPR RE Holdings: 22323,Solar,2.9,3.8,"WPR RE Holdings, LLC",In Construction,65.47,,Assumed,,N,CA,CAISO,35.7832,-119.8652,01/01/2026,2026,36.2,-120.1,0.478386120199989
