lat,lon,pml_52,pml_60,pml_70,pml_77,ins_52,ins_60,ins_70,ins_77,risk_52,risk_60,risk_70,risk_77,gc_check
40.7,-122.8,0.03,0.02,0.0,0.0,0.242097,0.165393,0.01598,0.0,0.306816,0.204544,0.102272,0.051136,1.90026
40.7,-123.7,0.02,0.02,0.0,0.0,0.195755,0.135031,0.002397,0.0,0.204544,0.153408,0.102272,0.051136,1.55142
40.7,-124.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.102272,0.051136,0.051136,0.0,0.0
41.6,-120.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.102272,0.102272,0.051136,0.051136,0.0
41.6,-121.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.153408,0.102272,0.051136,0.051136,0.0
41.6,-121.9,0.03,0.02,0.0,0.0,0.258077,0.17578,0.019975,0.0,0.25568,0.153408,0.102272,0.051136,2.0196
41.6,-122.8,0.05,0.04,0.01,0.0,0.424269,0.286042,0.068714,0.002397,0.357952,0.25568,0.153408,0.102272,3.28644
41.6,-123.7,0.03,0.02,0.0,0.0,0.21573,0.147815,0.00799,0.0,0.204544,0.153408,0.102272,0.051136,1.6983
41.6,-124.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.051136,0.051136,0.051136,0.0,0.0
42.5,-121.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.051136,0.051136,0.051136,0.0,0.0
37.1,-103.0,0.25,0.19,0.09,0.05,2.009485,1.522894,0.713507,0.386716,10.329472,7.92608,4.448832,2.863616,17.49708
37.1,-104.8,0.23,0.17,0.08,0.04,1.839298,1.364692,0.602446,0.329987,3.477248,2.710208,1.53408,1.02272,15.67944
37.1,-105.7,0.09,0.07,0.02,0.01,0.695929,0.520149,0.1598,0.064719,0.76704,0.613632,0.357952,0.204544,5.97618
37.1,-107.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.102272,0.051136,0.051136,0.0,0.0
37.1,-108.4,0.02,0.02,0.0,0.0,0.178177,0.121448,0.0,0.0,0.204544,0.153408,0.051136,0.051136,1.39536
38.0,-103.0,0.29,0.22,0.11,0.06,2.277949,1.745815,0.870111,0.472209,14.676032,11.454464,6.64768,4.295424,20.0583
38.0,-103.9,0.28,0.22,0.11,0.06,2.231607,1.721046,0.852533,0.459425,11.24992,8.744256,5.062464,3.272704,19.77372
38.0,-104.8,0.25,0.19,0.09,0.05,1.992706,1.507713,0.702321,0.381123,6.187456,4.755648,2.710208,1.738624,17.32266
